Fri, Mar 22, 2024
2:10:05 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
152.8000000	-33.3100014	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0475426	0.0560243	0.0090442	-0.0080916	-0.0478450	-0.0569885	-0.0101887	0.0076568
154.1100000	4213.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0619474	0.0706392	-0.0844951	-0.1077555	-0.0622235	-0.0716421	0.0833658	0.1074337
155.6700000	-4226.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0621792	0.0767152	0.1077787	0.0841432	-0.0624552	-0.0777202	-0.1090363	-0.0845981
156.9800000	-33.2900009	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0500849	0.0590413	0.0095313	-0.0085663	-0.0503301	-0.0599506	-0.0106674	0.0081389
158.3750000	4212.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0646043	0.0737958	-0.0844308	-0.1087182	-0.0648759	-0.0747946	0.0832882	0.1084027
159.9450000	-4226.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0648072	0.0798787	0.1087402	0.0840752	-0.0650914	-0.0808793	-0.1099867	-0.0845302
161.2650000	-33.1699982	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0525229	0.0619642	0.0100120	-0.0090470	-0.0528049	-0.0628901	-0.0111350	0.0086131
162.6750000	4212.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0672530	0.0769594	-0.0843476	-0.1096961	-0.0675556	-0.0779556	0.0832461	0.1093780
164.2800000	-4226.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0674503	0.0830850	0.1097415	0.0840069	-0.0677764	-0.0840807	-0.1109351	-0.0844568
165.5850000	-33.0499992	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0549832	0.0649284	0.0105150	-0.0095268	-0.0553147	-0.0658563	-0.0115878	0.0090981
