Mon, Apr 01, 2024
2:22:51 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
163.9050000	-4210.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0333141	0.0409325	0.0542769	0.0418823	-0.0335625	-0.0418317	-0.0557291	-0.0425028
165.1900000	-33.6699982	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0271561	0.0319359	0.0049656	-0.0049091	-0.0274046	-0.0327153	-0.0059240	0.0042559
166.4700000	4196.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0345319	0.0393259	-0.0422648	-0.0554064	-0.0348243	-0.0402991	0.0415319	0.0549804
168.0350000	-4209.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0347582	0.0426974	0.0547485	0.0417852	-0.0350654	-0.0436798	-0.0562688	-0.0423881
169.3600000	-32.9799995	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0285616	0.0336342	0.0052562	-0.0051900	-0.0288638	-0.0344659	-0.0062094	0.0045711
170.6700000	4196.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0360446	0.0411347	-0.0421563	-0.0559086	-0.0364141	-0.0421991	0.0414414	0.0555935
172.2450000	-4209.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0363510	0.0446249	0.0552573	0.0416997	-0.0366948	-0.0457063	-0.0568644	-0.0422402
173.6750000	-33.1500015	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0301534	0.0355545	0.0055800	-0.0054908	-0.0305099	-0.0364575	-0.0065465	0.0049338
174.9550000	4195.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0377032	0.0430998	-0.0420396	-0.0564424	-0.0381429	-0.0442739	0.0413330	0.0562660
176.6750000	-4209.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0381530	0.0467838	0.0558048	0.0415878	-0.0385164	-0.0479847	-0.0575361	-0.0420646
178.1000000	-33.1800003	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0318971	0.0376422	0.0059249	-0.0058322	-0.0322989	-0.0386274	-0.0069277	0.0053222
179.4050000	4195.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0395035	0.0452297	-0.0419136	-0.0570155	-0.0400102	-0.0465215	0.0411850	0.0569738
181.1300000	-4209.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0400177	0.0490355	0.0563505	0.0414400	-0.0404223	-0.0503944	-0.0582381	-0.0418642
182.4850000	-33.0900002	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0336872	0.0397693	0.0062602	-0.0061821	-0.0341193	-0.0408522	-0.0073175	0.0057279
183.8250000	4195.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0413408	0.0473948	-0.0417690	-0.0575528	-0.0419149	-0.0488031	0.0409979	0.0576659
185.5550000	-4209.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0419552	0.0513176	0.0568542	0.0412645	-0.0423311	-0.0528153	-0.0589239	-0.0416436
186.8900000	-32.9199982	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0355325	0.0419616	0.0065995	-0.0065322	-0.0359875	-0.0431329	-0.0077216	0.0061440
188.3300000	4194.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0432534	0.0496383	-0.0416014	-0.0580714	-0.0438881	-0.0511657	0.0407691	0.0583328
189.9350000	-4208.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0438994	0.0536149	0.0573409	0.0410798	-0.0442591	-0.0552718	-0.0595920	-0.0413987
191.2800000	-33.0400009	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0374232	0.0442052	0.0069444	-0.0068875	-0.0379298	-0.0455051	-0.0081505	0.0065568
192.6750000	4195.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0451336	0.0518333	-0.0414195	-0.0585340	-0.0458177	-0.0534540	0.0405168	0.0589327
194.2950000	-4208.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0458508	0.0559236	0.0577634	0.0408419	-0.0462080	-0.0577476	-0.0601881	-0.0411180
195.7250000	-32.9500008	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0394029	0.0465255	0.0072828	-0.0072446	-0.0398951	-0.0478800	-0.0085667	0.0069494
197.0050000	4194.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0470343	0.0540397	-0.0411940	-0.0589326	-0.0477620	-0.0557185	0.0402187	0.0594033
198.6800000	-4208.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0478785	0.0582791	0.0581183	0.0405552	-0.0481966	-0.0602326	-0.0606901	-0.0408053
